
id,service_type,cancellation_policy,can_provide_oral_medication,can_provide_injected_medication,senior_dog_experience,special_needs_experience,takes_small_dogs,takes_medium_dogs,takes_large_dogs,takes_puppies,max_dogs,provider_id,fee,price,added
1880,boarding,strict,1,0,1,0,1,1,1,1,3,1088,0.15,34,"2017-02-18 21:09:55.018286"
1881,day-care,moderate,1,1,0,1,1,1,0,1,2,1088,0.15,26,"2017-02-18 21:09:55.018286"
1882,boarding,moderate,1,0,1,0,1,1,1,0,3,1089,0.2,30,"2018-01-05 11:40:21.738054"
1883,boarding,strict,1,1,1,0,1,1,1,1,5,1090,0.2,29,"2018-02-09 14:48:15.837273"
1884,day-care,flexible,1,0,1,0,1,1,1,1,4,1090,0.2,29,"2018-02-09 14:48:15.837273"
1885,dog-walking,flexible,1,1,1,0,1,1,0,1,5,1091,0.2,25,"2018-04-04 01:34:21.361371"
1886,day-care,flexible,1,0,1,0,0,1,1,1,6,1091,0.2,27,"2018-04-04 01:34:21.361371"
1887,boarding,moderate,1,0,1,0,1,0,1,1,7,1092,0.2,36,"2018-07-17 02:30:39.596501"
1888,day-care,flexible,1,1,1,0,1,1,0,1,2,1092,0.2,30,"2018-07-17 02:30:39.596501"
1889,dog-walking,strict,0,0,1,1,1,1,1,1,3,1093,0.2,20,"2018-05-27 12:39:35.900204"
1890,day-care,strict,1,0,1,0,1,0,0,1,3,1093,0.2,24,"2018-05-27 12:39:35.900204"
1891,boarding,flexible,1,0,1,0,0,1,1,1,1,1094,0.2,41,"2018-07-15 18:51:46.312961"
1892,dog-walking,strict,1,0,1,1,1,1,1,0,6,1094,0.2,26,"2018-07-15 18:51:46.312961"
1893,dog-walking,moderate,1,1,1,0,1,1,0,1,3,1095,0.2,21,"2018-03-24 17:01:53.895200"
1894,boarding,flexible,1,0,1,1,1,1,1,0,6,1096,0.2,34,"2017-08-29 21:54:28.392076"
1895,dog-walking,flexible,1,0,1,1,1,1,1,0,3,1096,0.2,17,"2017-08-29 21:54:28.392076"
1896,boarding,strict,1,1,1,0,1,1,0,0,6,1097,0.2,41,"2018-07-01 04:19:32.401603"
1897,boarding,strict,1,1,0,1,1,1,0,1,5,1098,0.15,42,"2017-03-23 04:16:05.323062"
1898,dog-walking,flexible,1,0,1,0,1,0,1,1,2,1098,0.15,19,"2017-03-23 04:16:05.323062"
1899,day-care,strict,1,0,1,1,1,0,0,0,3,1098,0.15,25,"2017-03-23 04:16:05.323062"
1900,day-care,flexible,1,0,1,1,1,1,1,1,5,1099,0.2,27,"2018-05-24 09:06:48.809889"
1901,boarding,flexible,1,0,1,1,1,1,0,1,4,1100,0.2,34,"2018-05-21 09:21:24.184095"
1902,day-care,moderate,1,0,1,1,1,1,0,0,6,1101,0.2,23,"2017-06-11 06:04:35.753332"
1903,boarding,flexible,1,0,1,0,1,0,0,1,3,1102,0.2,41,"2017-12-11 20:27:59.446970"
1904,dog-walking,strict,1,0,1,0,1,1,0,1,5,1102,0.2,19,"2017-12-11 20:27:59.446970"
1905,day-care,strict,1,1,1,0,1,1,0,1,2,1102,0.2,27,"2017-12-11 20:27:59.446970"
1906,dog-walking,moderate,1,0,1,1,1,1,0,1,6,1103,0.15,23,"2017-01-31 09:43:10.217459"
1907,boarding,strict,1,0,1,1,1,1,1,1,2,1104,0.2,36,"2017-07-23 10:04:58.887404"
1908,boarding,moderate,1,0,1,0,1,1,0,0,1,1105,0.2,40,"2017-10-13 04:58:23.902979"
1909,dog-walking,moderate,1,0,1,0,1,0,0,1,2,1105,0.2,22,"2017-10-13 04:58:23.902979"
1910,boarding,flexible,1,0,1,0,1,0,1,1,4,1106,0.2,36,"2017-12-19 20:52:39.375344"
1911,boarding,strict,1,0,1,1,0,1,0,1,2,1107,0.2,34,"2018-04-29 05:51:58.961222"
1912,dog-walking,flexible,1,1,0,1,0,1,1,1,5,1107,0.2,21,"2018-04-29 05:51:58.961222"
1913,day-care,strict,1,0,1,0,1,0,0,1,2,1107,0.2,23,"2018-04-29 05:51:58.961222"
1914,day-care,strict,1,0,1,0,1,1,1,1,5,1108,0.2,27,"2018-06-06 07:05:31.052314"
1915,boarding,flexible,1,0,1,1,0,0,0,1,4,1109,0.2,34,"2018-05-20 08:56:46.744253"
1916,dog-walking,moderate,1,0,1,0,1,1,0,1,4,1109,0.2,18,"2018-05-20 08:56:46.744253"
1917,day-care,flexible,1,0,1,0,1,0,1,0,2,1109,0.2,29,"2018-05-20 08:56:46.744253"
1918,boarding,flexible,1,1,1,0,1,1,1,0,4,1110,0.2,36,"2018-01-01 23:58:00.497643"
1919,day-care,strict,1,0,1,0,1,1,1,0,5,1110,0.2,29,"2018-01-01 23:58:00.497643"
1920,boarding,strict,1,1,1,0,1,1,0,1,2,1111,0.15,34,"2017-03-02 14:50:57.164100"
1921,day-care,moderate,1,0,1,1,1,1,1,1,4,1111,0.15,24,"2017-03-02 14:50:57.164100"
1922,dog-walking,moderate,1,0,1,0,1,1,0,1,3,1112,0.2,19,"2018-02-08 00:05:18.711874"
1923,day-care,strict,1,1,1,1,1,1,1,1,6,1112,0.2,31,"2018-02-08 00:05:18.711874"
1924,boarding,flexible,0,0,1,1,1,1,0,1,6,1113,0.2,35,"2017-12-27 18:38:46.919319"
1925,dog-walking,strict,1,0,1,0,1,0,0,0,2,1113,0.2,20,"2017-12-27 18:38:46.919319"
1926,day-care,moderate,1,0,1,1,1,0,1,0,4,1113,0.2,27,"2017-12-27 18:38:46.919319"
1927,dog-walking,flexible,1,0,1,1,1,0,0,1,5,1114,0.2,24,"2017-10-24 23:43:38.304564"
1928,boarding,strict,1,0,1,0,1,1,0,1,2,1115,0.2,40,"2018-02-28 23:52:41.227740"
1929,dog-walking,moderate,1,0,1,0,1,1,1,1,6,1116,0.2,22,"2018-07-15 18:11:28.926170"
1930,day-care,moderate,1,0,0,0,1,1,0,1,4,1116,0.2,28,"2018-07-15 18:11:28.926170"
1931,boarding,strict,0,0,1,1,1,1,1,0,5,1117,0.2,35,"2018-04-15 23:11:03.630553"
1932,day-care,moderate,0,0,1,1,1,1,0,1,1,1117,0.2,32,"2018-04-15 23:11:03.630553"
1933,boarding,strict,0,0,1,0,1,1,0,1,2,1118,0.2,33,"2018-03-27 15:28:02.564251"
1934,dog-walking,flexible,1,0,0,0,1,1,1,1,5,1118,0.2,17,"2018-03-27 15:28:02.564251"
1935,day-care,strict,1,0,1,0,0,1,1,0,3,1118,0.2,29,"2018-03-27 15:28:02.564251"
1936,day-care,moderate,1,0,1,1,1,1,0,1,6,1119,0.2,32,"2017-11-09 22:01:21.589791"
1937,boarding,strict,0,1,1,0,1,1,0,1,1,1120,0.15,37,"2017-05-01 07:53:07.886581"
1938,day-care,strict,1,0,0,1,1,1,1,1,5,1121,0.2,25,"2018-02-04 10:28:57.146745"
1939,day-care,flexible,1,1,1,0,1,0,0,1,4,1122,0.2,31,"2017-11-20 02:22:57.983402"
1940,dog-walking,flexible,1,1,1,1,1,1,0,1,3,1123,0.2,20,"2017-06-29 15:23:50.644679"
1941,day-care,strict,0,0,1,1,1,0,0,1,3,1123,0.2,26,"2017-06-29 15:23:50.644679"
1942,boarding,strict,1,1,1,0,1,1,0,1,3,1124,0.2,31,"2017-12-18 20:44:50.222765"
1943,day-care,strict,1,0,1,0,1,1,0,1,4,1124,0.2,25,"2017-12-18 20:44:50.222765"
1944,boarding,moderate,1,1,1,0,1,1,0,0,1,1125,0.2,33,"2017-05-26 02:17:04.682587"
1945,dog-walking,flexible,1,0,1,0,1,1,0,1,4,1125,0.2,17,"2017-05-26 02:17:04.682587"
1946,dog-walking,moderate,1,0,1,0,1,1,0,0,5,1126,0.15,20,"2017-05-17 05:02:53.091402"
1947,day-care,flexible,1,0,1,0,1,1,1,0,2,1126,0.15,21,"2017-05-17 05:02:53.091402"
1948,day-care,strict,1,0,1,1,1,1,1,1,5,1127,0.2,31,"2017-08-29 04:53:16.073223"
1949,dog-walking,strict,0,0,1,0,1,1,0,1,2,1128,0.2,25,"2017-06-17 21:06:04.374776"
1950,boarding,flexible,1,1,0,1,1,1,0,0,4,1129,0.2,32,"2018-02-26 19:36:49.063643"
1951,dog-walking,moderate,1,0,1,0,1,1,1,1,4,1130,0.2,20,"2018-03-26 09:50:30.377092"
1952,day-care,flexible,1,0,1,0,1,1,1,0,6,1130,0.2,31,"2018-03-26 09:50:30.377092"
1953,boarding,moderate,0,1,1,1,1,1,1,1,6,1131,0.2,31,"2017-12-02 16:49:31.092836"
1954,boarding,moderate,1,0,1,0,0,1,0,0,3,1132,0.2,33,"2018-07-09 22:02:44.415267"
1955,dog-walking,flexible,1,0,1,0,0,1,1,1,2,1132,0.2,17,"2018-07-09 22:02:44.415267"
1956,day-care,strict,1,0,1,1,0,1,1,1,3,1132,0.2,27,"2018-07-09 22:02:44.415267"
1957,boarding,strict,1,0,1,0,0,1,1,1,9,1133,0.2,40,"2018-06-02 01:50:13.703555"
1958,day-care,flexible,1,0,1,0,1,1,0,1,2,1134,0.2,24,"2017-12-21 11:09:03.694056"
1959,dog-walking,strict,1,1,1,1,1,1,0,1,6,1135,0.2,24,"2018-05-12 08:25:23.042575"
1960,day-care,flexible,1,0,1,0,1,1,0,1,3,1135,0.2,27,"2018-05-12 08:25:23.042575"
1961,boarding,moderate,1,0,1,1,1,1,0,0,3,1136,0.2,33,"2017-11-06 12:41:50.188220"
1962,dog-walking,moderate,1,0,1,0,1,1,1,1,3,1136,0.2,21,"2017-11-06 12:41:50.188220"
1963,dog-walking,moderate,1,0,1,0,1,1,0,1,4,1137,0.2,25,"2018-05-23 18:08:58.622922"
1964,day-care,strict,1,0,1,0,1,0,0,1,6,1137,0.2,28,"2018-05-23 18:08:58.622922"
1965,dog-walking,moderate,1,0,1,1,1,0,0,1,3,1138,0.15,24,"2017-01-22 06:45:05.221219"
1966,day-care,flexible,1,0,1,0,1,1,1,1,5,1138,0.15,27,"2017-01-22 06:45:05.221219"
1967,boarding,moderate,1,0,1,0,1,0,0,1,7,1139,0.2,43,"2018-01-01 20:51:38.427203"
1968,day-care,strict,1,1,1,0,1,1,0,1,6,1139,0.2,28,"2018-01-01 20:51:38.427203"
1969,boarding,strict,1,0,1,0,1,1,1,1,2,1140,0.2,32,"2018-06-20 03:51:16.038122"
1970,day-care,strict,1,0,1,1,0,1,1,1,5,1141,0.15,26,"2016-11-14 14:08:02.171193"
1971,boarding,strict,1,0,1,0,1,0,1,1,1,1142,0.2,30,"2018-07-30 20:41:36.742873"
1972,day-care,moderate,1,0,1,0,1,1,1,1,5,1142,0.2,27,"2018-07-30 20:41:36.742873"
1973,boarding,moderate,1,0,1,0,1,1,1,1,2,1143,0.2,38,"2018-07-12 05:23:58.952782"
1974,dog-walking,moderate,1,0,1,0,1,1,0,1,3,1143,0.2,20,"2018-07-12 05:23:58.952782"
1975,dog-walking,flexible,1,0,1,0,1,1,1,1,4,1144,0.15,27,"2017-03-12 04:33:03.692321"
1976,dog-walking,moderate,1,0,1,0,1,1,0,1,4,1145,0.2,18,"2018-06-08 04:53:07.383583"
1977,dog-walking,strict,1,0,1,1,1,1,1,1,4,1146,0.15,18,"2016-11-16 15:11:20.101230"
1978,day-care,strict,1,0,1,0,1,1,0,1,2,1146,0.15,29,"2016-11-16 15:11:20.101230"
1979,day-care,flexible,1,0,1,0,1,1,1,1,5,1147,0.2,28,"2018-05-07 10:05:09.338195"
1980,boarding,moderate,1,0,1,0,0,1,1,1,3,1148,0.15,36,"2017-04-30 08:38:59.719896"
1981,day-care,strict,1,0,1,1,1,0,1,1,7,1148,0.15,28,"2017-04-30 08:38:59.719896"
1982,dog-walking,strict,1,0,1,1,1,1,0,1,1,1149,0.2,29,"2017-11-23 08:09:46.880018"
1983,day-care,flexible,1,1,1,1,1,1,1,1,3,1150,0.2,23,"2018-06-19 19:47:45.168157"
1984,boarding,flexible,1,0,1,0,1,1,1,1,3,1151,0.15,32,"2017-03-25 08:18:56.930521"
1985,day-care,strict,1,0,1,0,1,1,0,0,2,1151,0.15,29,"2017-03-25 08:18:56.930521"
1986,boarding,flexible,0,0,1,0,1,1,1,1,5,1152,0.15,31,"2017-03-13 12:28:09.830848"
1987,day-care,moderate,1,0,1,0,1,1,0,1,1,1152,0.15,27,"2017-03-13 12:28:09.830848"
1988,boarding,strict,1,1,1,1,1,1,1,1,7,1153,0.2,30,"2017-12-05 22:26:13.009942"
1989,day-care,moderate,1,0,1,0,1,1,0,1,1,1153,0.2,25,"2017-12-05 22:26:13.009942"
1990,boarding,strict,1,0,1,1,1,0,1,1,3,1154,0.2,31,"2017-10-23 22:01:07.581677"
1991,dog-walking,flexible,0,0,1,1,1,0,1,0,6,1154,0.2,22,"2017-10-23 22:01:07.581677"
1992,day-care,flexible,1,1,1,0,0,1,1,1,3,1154,0.2,29,"2017-10-23 22:01:07.581677"
1993,day-care,strict,1,0,0,0,1,0,0,1,4,1155,0.2,30,"2018-07-27 10:56:23.704953"
1994,dog-walking,flexible,1,1,1,0,0,0,0,1,2,1156,0.2,21,"2017-12-22 22:37:49.493088"
1995,day-care,strict,1,0,0,0,1,1,0,0,1,1156,0.2,24,"2017-12-22 22:37:49.493088"
1996,dog-walking,strict,1,0,1,1,1,1,1,0,2,1157,0.2,24,"2018-04-24 09:57:58.180787"
1997,dog-walking,strict,1,0,1,1,1,1,0,0,3,1158,0.2,22,"2017-11-19 08:34:03.517275"
1998,day-care,moderate,1,1,1,0,1,1,0,0,3,1158,0.2,28,"2017-11-19 08:34:03.517275"
1999,boarding,moderate,1,1,0,0,1,1,0,1,5,1159,0.2,36,"2018-04-04 03:30:57.262233"
2000,dog-walking,moderate,1,0,1,0,1,1,1,1,1,1159,0.2,22,"2018-04-04 03:30:57.262233"
2001,boarding,strict,1,0,1,1,1,1,1,0,1,1160,0.2,32,"2017-07-30 22:37:41.725272"
2002,dog-walking,strict,1,0,1,0,1,1,1,1,4,1160,0.2,20,"2017-07-30 22:37:41.725272"
2003,boarding,strict,1,0,1,0,1,0,1,1,3,1161,0.2,28,"2018-07-22 22:28:38.281901"
2004,dog-walking,moderate,1,0,1,0,1,1,0,1,1,1161,0.2,23,"2018-07-22 22:28:38.281901"
2005,boarding,flexible,1,0,1,0,1,0,0,1,5,1162,0.15,35,"2017-05-13 23:20:04.362770"
2006,dog-walking,moderate,1,0,0,0,0,1,1,1,2,1162,0.15,23,"2017-05-13 23:20:04.362770"
2007,boarding,flexible,1,0,1,0,1,1,1,1,7,1163,0.2,43,"2018-06-23 18:38:15.548694"
2008,dog-walking,strict,1,0,1,0,1,1,0,1,5,1163,0.2,27,"2018-06-23 18:38:15.548694"
2009,boarding,flexible,0,0,1,1,1,1,1,1,3,1164,0.2,38,"2018-06-03 11:25:34.374574"
2010,dog-walking,strict,1,0,1,0,1,0,0,0,5,1164,0.2,25,"2018-06-03 11:25:34.374574"
2011,day-care,moderate,1,1,1,1,1,0,1,0,4,1164,0.2,24,"2018-06-03 11:25:34.374574"
2012,boarding,moderate,1,1,1,0,1,1,1,1,4,1165,0.2,34,"2018-02-25 00:31:23.415377"
2013,dog-walking,flexible,1,0,1,1,1,1,1,0,4,1165,0.2,26,"2018-02-25 00:31:23.415377"
2014,day-care,strict,1,0,1,1,0,1,1,1,3,1165,0.2,29,"2018-02-25 00:31:23.415377"
2015,boarding,moderate,1,0,0,0,1,1,1,0,3,1166,0.2,35,"2018-03-05 00:24:18.950894"
2016,dog-walking,strict,1,0,1,1,1,1,1,1,1,1166,0.2,25,"2018-03-05 00:24:18.950894"
2017,day-care,strict,1,0,1,0,1,1,1,1,3,1166,0.2,21,"2018-03-05 00:24:18.950894"
2018,boarding,moderate,1,1,1,0,1,1,0,1,4,1167,0.2,39,"2018-06-16 12:28:36.008256"
2019,dog-walking,moderate,0,0,0,0,1,1,1,0,4,1167,0.2,22,"2018-06-16 12:28:36.008256"
2020,day-care,moderate,1,0,1,1,1,1,1,1,4,1167,0.2,31,"2018-06-16 12:28:36.008256"
2021,dog-walking,strict,1,0,1,1,1,1,1,1,4,1168,0.2,19,"2017-10-27 13:12:44.348829"
2022,boarding,flexible,1,0,0,0,0,1,0,1,4,1169,0.2,42,"2018-05-23 10:42:32.210572"
2023,boarding,flexible,1,0,1,0,1,1,0,1,2,1170,0.2,39,"2017-07-10 08:49:09.384410"
2024,dog-walking,moderate,1,1,1,1,1,0,0,1,2,1170,0.2,24,"2017-07-10 08:49:09.384410"
2025,day-care,flexible,1,0,1,0,1,1,1,0,4,1170,0.2,29,"2017-07-10 08:49:09.384410"
2026,day-care,moderate,1,0,1,1,1,1,0,0,4,1171,0.2,26,"2017-12-25 11:49:46.423334"
2027,boarding,flexible,1,1,1,0,0,1,1,1,4,1172,0.2,32,"2017-09-23 12:37:29.367752"
2028,boarding,flexible,1,1,1,0,1,1,0,1,6,1173,0.2,34,"2018-03-14 18:59:24.429397"
2029,dog-walking,moderate,1,0,1,1,1,1,0,1,4,1174,0.2,21,"2017-06-26 17:22:11.093234"
2030,day-care,flexible,1,1,1,0,1,1,1,0,1,1174,0.2,32,"2017-06-26 17:22:11.093234"
2031,boarding,moderate,1,0,1,1,1,0,0,1,3,1175,0.2,30,"2017-11-01 12:25:47.405865"
2032,day-care,moderate,0,1,1,0,1,1,0,1,4,1175,0.2,25,"2017-11-01 12:25:47.405865"
2033,boarding,moderate,0,1,1,0,1,1,0,1,3,1176,0.2,40,"2017-10-09 07:50:52.686671"
2034,day-care,strict,1,0,1,1,0,1,1,0,2,1177,0.2,32,"2017-07-07 10:39:23.012224"
2035,dog-walking,strict,1,0,1,0,1,1,0,0,5,1178,0.2,22,"2017-10-14 05:29:01.535943"
2036,boarding,flexible,1,0,1,0,1,1,0,1,4,1179,0.2,35,"2017-07-15 21:14:32.315033"
2037,dog-walking,flexible,1,0,1,0,0,0,1,1,6,1179,0.2,25,"2017-07-15 21:14:32.315033"
2038,day-care,flexible,1,0,1,0,1,1,0,1,3,1179,0.2,30,"2017-07-15 21:14:32.315033"
2039,boarding,moderate,0,0,1,0,1,1,1,1,2,1180,0.2,31,"2018-04-12 08:21:34.973966"
2040,day-care,flexible,1,0,1,0,1,1,1,1,2,1180,0.2,27,"2018-04-12 08:21:34.973966"
2041,boarding,flexible,1,0,1,1,1,0,1,1,3,1181,0.2,43,"2018-05-27 08:46:16.101678"
2042,dog-walking,flexible,1,0,1,0,1,1,1,1,3,1181,0.2,20,"2018-05-27 08:46:16.101678"
2043,boarding,moderate,1,0,1,0,1,1,0,1,1,1182,0.2,35,"2017-08-27 09:59:30.753375"
2044,dog-walking,flexible,1,0,1,1,1,1,0,1,5,1182,0.2,21,"2017-08-27 09:59:30.753375"
2045,boarding,moderate,1,1,1,0,1,1,0,1,2,1183,0.2,36,"2017-07-19 00:32:55.672644"
2046,day-care,strict,1,0,1,0,1,1,1,1,4,1183,0.2,28,"2017-07-19 00:32:55.672644"
2047,dog-walking,moderate,1,1,1,0,1,1,0,1,1,1184,0.2,25,"2017-10-23 11:04:19.335791"
2048,day-care,flexible,1,0,1,1,0,0,0,1,5,1184,0.2,27,"2017-10-23 11:04:19.335791"
2049,day-care,flexible,1,0,1,0,0,1,0,0,4,1185,0.2,29,"2017-07-13 19:15:00.182810"
2050,boarding,moderate,1,0,1,1,1,1,0,0,5,1186,0.2,27,"2017-12-27 08:57:09.581376"
2051,dog-walking,strict,1,0,1,0,1,1,1,0,4,1186,0.2,23,"2017-12-27 08:57:09.581376"
2052,dog-walking,moderate,0,0,1,1,1,1,1,0,2,1187,0.2,23,"2018-07-02 00:28:42.413308"
2053,day-care,flexible,1,0,1,1,1,1,0,1,4,1187,0.2,24,"2018-07-02 00:28:42.413308"
2054,boarding,strict,1,0,1,0,0,1,1,1,5,1188,0.2,40,"2018-01-26 14:57:33.111012"
2055,dog-walking,moderate,1,0,1,0,1,1,0,0,6,1188,0.2,23,"2018-01-26 14:57:33.111012"
2056,day-care,flexible,1,0,1,0,1,1,1,0,1,1188,0.2,27,"2018-01-26 14:57:33.111012"
2057,boarding,moderate,1,0,1,0,1,1,1,1,2,1189,0.2,40,"2017-10-18 23:23:46.259379"
2058,day-care,flexible,1,0,1,0,1,1,0,1,2,1189,0.2,28,"2017-10-18 23:23:46.259379"
2059,dog-walking,flexible,1,1,1,0,1,1,1,1,3,1190,0.15,17,"2017-04-20 22:51:41.512233"
2060,boarding,strict,1,0,1,0,1,0,1,1,3,1191,0.2,36,"2017-12-27 09:11:35.159730"
2061,dog-walking,strict,1,0,1,0,1,1,0,1,1,1191,0.2,18,"2017-12-27 09:11:35.159730"
2062,boarding,flexible,1,1,1,0,1,1,0,0,1,1192,0.2,34,"2017-12-16 10:46:58.531613"
2063,dog-walking,flexible,1,0,1,0,1,1,1,1,3,1193,0.2,19,"2018-01-20 03:53:15.985875"
2064,day-care,strict,0,0,1,0,1,1,1,1,2,1193,0.2,30,"2018-01-20 03:53:15.985875"
2065,boarding,moderate,1,0,1,0,1,1,0,1,2,1194,0.2,31,"2017-05-30 01:49:35.602362"
2066,day-care,flexible,1,0,1,0,1,0,0,0,2,1195,0.2,26,"2017-07-12 19:15:08.278317"
2067,day-care,flexible,1,0,1,1,1,1,1,0,5,1196,0.2,26,"2018-01-15 04:21:23.617219"
2068,dog-walking,moderate,1,0,1,0,1,0,0,1,3,1197,0.2,20,"2017-08-28 23:21:52.706333"
2069,day-care,flexible,1,0,0,0,1,1,1,1,1,1197,0.2,30,"2017-08-28 23:21:52.706333"
2070,boarding,strict,1,0,1,1,1,1,0,1,5,1198,0.2,27,"2017-07-21 09:40:48.912747"
2071,dog-walking,moderate,1,0,1,0,0,0,0,1,3,1198,0.2,24,"2017-07-21 09:40:48.912747"
2072,day-care,moderate,0,0,0,1,1,1,1,1,5,1198,0.2,23,"2017-07-21 09:40:48.912747"
2073,boarding,flexible,0,0,1,1,1,1,0,1,1,1199,0.2,31,"2017-09-28 03:00:27.811975"
2074,day-care,flexible,1,0,1,0,0,0,0,1,2,1199,0.2,28,"2017-09-28 03:00:27.811975"
2075,dog-walking,moderate,1,0,1,0,1,1,1,1,3,1200,0.2,24,"2018-06-03 02:03:09.849642"
2076,boarding,moderate,0,1,1,0,1,1,0,1,1,1201,0.2,37,"2018-01-07 18:42:55.292778"
2077,day-care,flexible,0,0,1,0,1,1,1,1,3,1201,0.2,23,"2018-01-07 18:42:55.292778"
2078,dog-walking,strict,1,0,1,0,0,0,1,1,3,1202,0.2,19,"2018-05-01 19:14:55.780012"
2079,day-care,strict,1,0,1,0,1,1,1,1,6,1203,0.15,28,"2017-04-09 13:12:37.077308"
2080,boarding,flexible,1,0,1,0,1,1,1,1,5,1204,0.2,31,"2018-01-25 16:27:05.628714"
2081,dog-walking,strict,1,0,0,0,1,1,0,0,2,1204,0.2,27,"2018-01-25 16:27:05.628714"
2082,day-care,moderate,1,0,1,0,1,0,0,0,3,1204,0.2,27,"2018-01-25 16:27:05.628714"
2083,day-care,flexible,1,0,0,1,1,1,1,1,4,1205,0.2,31,"2018-02-08 05:58:43.394543"
2084,boarding,moderate,1,0,1,0,1,1,1,1,5,1206,0.2,41,"2018-06-30 10:35:19.990325"
2085,dog-walking,moderate,1,0,1,0,0,1,1,0,4,1206,0.2,22,"2018-06-30 10:35:19.990325"
2086,boarding,strict,1,0,1,1,1,0,1,1,2,1207,0.2,31,"2017-10-08 17:36:59.700338"
2087,dog-walking,moderate,1,1,0,0,1,0,0,1,3,1207,0.2,21,"2017-10-08 17:36:59.700338"
2088,dog-walking,strict,1,1,1,0,1,1,1,0,5,1208,0.2,19,"2017-07-10 03:09:33.997925"
2089,boarding,moderate,1,0,1,1,1,0,0,1,4,1209,0.15,41,"2017-02-06 00:26:01.971491"
2090,boarding,strict,1,0,1,0,1,1,0,0,1,1210,0.2,34,"2017-12-04 19:06:09.238824"
2091,day-care,moderate,1,0,1,0,0,0,0,1,7,1210,0.2,28,"2017-12-04 19:06:09.238824"
2092,day-care,moderate,1,0,1,0,1,1,1,1,1,1211,0.2,31,"2017-07-04 15:51:55.280176"
2093,boarding,moderate,1,0,1,1,1,0,1,1,4,1212,0.2,37,"2017-10-01 23:31:11.161459"
2094,day-care,strict,0,0,1,0,1,0,1,1,1,1212,0.2,21,"2017-10-01 23:31:11.161459"
2095,boarding,strict,1,1,1,1,1,1,0,1,2,1213,0.2,36,"2018-06-24 15:02:38.228270"
2096,day-care,flexible,1,0,1,0,1,1,1,1,3,1213,0.2,26,"2018-06-24 15:02:38.228270"
2097,day-care,flexible,1,0,1,1,1,1,1,1,5,1214,0.15,24,"2017-01-09 10:16:58.230496"
2098,dog-walking,moderate,1,0,1,1,1,1,0,1,4,1215,0.2,19,"2018-02-28 15:48:56.899216"
2099,boarding,strict,1,0,1,0,1,1,1,1,3,1216,0.15,34,"2016-12-10 13:13:24.803142"
2100,dog-walking,moderate,1,0,1,1,1,1,1,0,2,1217,0.2,25,"2018-02-15 10:58:31.985827"
2101,day-care,moderate,1,0,1,0,1,1,1,1,3,1217,0.2,31,"2018-02-15 10:58:31.985827"
2102,dog-walking,strict,1,0,1,1,1,1,0,1,5,1218,0.2,24,"2017-12-25 22:08:27.525525"
2103,boarding,flexible,1,0,1,1,1,1,0,1,3,1219,0.15,40,"2016-12-06 15:38:21.197899"
2104,day-care,flexible,1,0,1,1,1,1,0,1,1,1219,0.15,26,"2016-12-06 15:38:21.197899"
2105,boarding,flexible,1,0,1,0,1,0,0,0,1,1220,0.2,30,"2017-12-11 16:55:25.935367"
2106,dog-walking,flexible,1,0,1,0,1,1,0,0,6,1220,0.2,15,"2017-12-11 16:55:25.935367"
2107,day-care,moderate,1,0,0,0,0,1,0,1,4,1221,0.2,31,"2018-02-22 04:09:53.272323"
2108,boarding,strict,1,0,1,0,1,1,0,0,4,1222,0.15,31,"2017-02-02 11:10:38.383504"
2109,dog-walking,strict,1,1,1,1,0,0,1,1,6,1223,0.15,18,"2017-05-04 15:29:27.449466"
2110,day-care,flexible,1,1,1,0,1,1,1,1,5,1223,0.15,32,"2017-05-04 15:29:27.449466"
2111,day-care,moderate,1,0,1,1,1,0,0,1,3,1224,0.2,33,"2018-05-14 07:38:49.958643"
2112,dog-walking,flexible,1,1,0,0,1,1,1,1,7,1225,0.2,19,"2017-10-30 03:12:03.359567"
2113,dog-walking,flexible,1,0,1,0,1,1,1,0,4,1226,0.15,22,"2017-02-24 08:25:57.400652"
2114,day-care,flexible,1,0,1,0,1,0,0,1,2,1226,0.15,27,"2017-02-24 08:25:57.400652"
2115,boarding,strict,1,0,1,1,1,1,0,1,1,1227,0.2,32,"2018-04-18 17:01:42.082810"
2116,dog-walking,moderate,1,1,1,0,1,1,0,1,5,1227,0.2,24,"2018-04-18 17:01:42.082810"
2117,day-care,flexible,1,0,1,0,1,0,1,1,6,1227,0.2,30,"2018-04-18 17:01:42.082810"
2118,boarding,strict,1,0,1,0,1,0,1,1,4,1228,0.2,34,"2018-05-28 02:11:29.085196"
2119,dog-walking,flexible,1,0,1,1,1,0,0,1,3,1228,0.2,23,"2018-05-28 02:11:29.085196"
2120,day-care,moderate,1,0,1,0,1,1,0,1,4,1228,0.2,31,"2018-05-28 02:11:29.085196"
2121,day-care,flexible,1,1,1,1,1,1,1,1,2,1229,0.15,29,"2016-11-29 13:42:53.753497"
2122,dog-walking,strict,0,0,1,0,1,1,1,1,3,1230,0.2,27,"2017-11-15 06:23:21.820720"
2123,day-care,flexible,1,0,1,1,1,0,1,1,4,1231,0.2,27,"2017-07-19 11:14:02.321802"
2124,boarding,strict,0,0,1,0,1,1,0,1,4,1232,0.2,37,"2018-07-23 21:42:03.912955"
2125,boarding,moderate,1,0,1,0,1,1,1,1,4,1233,0.2,41,"2017-06-18 18:53:55.983112"
